artistname,artistURL,day,starttime,endtime,venue,category
070,https://schedule.sxsw.com/2018/artists/23352,,None,TBD,TBD,Hip Hop / Rap
16 the Olympus,https://schedule.sxsw.com/2018/artists/18953,"Mar 17, 2018",8:00pm , 8:40pm,Elephant Room,Jazz
1982 (diecinueve ochenta y dos),https://schedule.sxsw.com/2018/artists/18148,"Mar 14, 2018",9:10pm , 9:50pm,Speakeasy Kabaret,Latin Indie 
1982 (diecinueve ochenta y dos),https://schedule.sxsw.com/2018/artists/18148,"Mar 16, 2018",10:00pm , 10:40pm,The Townsend,Latin Indie 
1kPhew,https://schedule.sxsw.com/2018/artists/23658,"Mar 16, 2018",9:25pm , 9:40pm,Parish,Hip Hop / Rap
1Playy,https://schedule.sxsw.com/2018/artists/23747,"Mar 14, 2018",9:00pm , 9:20pm,Cedar Street Courtyard,Hip Hop / Rap
20 Somethin' Band/Tenth Child Inc. House Band,https://schedule.sxsw.com/2018/artists/23089,"Mar 17, 2018",8:00pm , 8:20pm,18th Over Austin,Hip Hop / Rap
24Hrs,https://schedule.sxsw.com/2018/artists/23723,"Mar 14, 2018",12:00am , 12:20am,Cedar Street Courtyard,Hip Hop / Rap
24Hrs,https://schedule.sxsw.com/2018/artists/23723,"Mar 13, 2018",1:00am , 1:30am,Ironwood Hall,Hip Hop / Rap
3 Hand Stephen,https://schedule.sxsw.com/2018/artists/20007,"Mar 17, 2018",9:00pm , 9:40pm,Stephen F's Bar,Americana
5-D,https://schedule.sxsw.com/2018/artists/23837,"Mar 15, 2018",None,TBD,TBD,Hip Hop / Rap
5ive,https://schedule.sxsw.com/2018/artists/23053,"Mar 16, 2018",11:10pm , 11:25pm,University Avenue Church of Christ,Gospel
6Blocc,https://schedule.sxsw.com/2018/artists/23639,"Mar 17, 2018",12:00am , 1:00am,Barcelona,DJ
90 One,https://schedule.sxsw.com/2018/artists/23174,"Mar 17, 2018",9:45pm , 10:15pm,Carver Museum Boyd Vance Theater,Hip Hop / Rap
Abhi The Nomad,https://schedule.sxsw.com/2018/artists/21019,"Mar 16, 2018",7:30pm , 8:00pm,Tap Room at The Market,Hip Hop / Rap
Abisha Uhl,https://schedule.sxsw.com/2018/artists/22555,"Mar 17, 2018",10:45pm , 11:05pm,Tap Room at The Market,Rock
ABSTRACT,https://schedule.sxsw.com/2018/artists/23441,"Mar 15, 2018",10:00pm , 10:30pm,Waller Ballroom,DJ
ABSTRACT,https://schedule.sxsw.com/2018/artists/23441,"Mar 15, 2018",11:15pm , 12:00am,Waller Ballroom,DJ
The Academic,https://schedule.sxsw.com/2018/artists/22650,"Mar 13, 2018",1:00am , 1:50am,The Main II,Rock
The Accidentals,https://schedule.sxsw.com/2018/artists/22984,"Mar 16, 2018",8:00pm , 8:30pm,Trinity Warehouse,Folk
The Accidentals,https://schedule.sxsw.com/2018/artists/22984,"Mar 13, 2018",11:00pm , 11:40pm,18th Over Austin,Folk
Ace Harper,https://schedule.sxsw.com/2018/artists/23546,"Mar 17, 2018",10:00pm , 10:40pm,Palm Door on Sabine,Electronic
A.CHAL,https://schedule.sxsw.com/2018/artists/21565,"Mar 15, 2018",10:00pm , 10:30pm,Trinity Warehouse,R & B
Acid Dad,https://schedule.sxsw.com/2018/artists/20475,"Mar 15, 2018",11:00pm , 11:40pm,Valhalla,Punk
Acid Dad,https://schedule.sxsw.com/2018/artists/20475,"Mar 14, 2018",1:25am , 1:50am,Dirty Dog Bar,Punk
Acid House Ragas,https://schedule.sxsw.com/2018/artists/22976,"Mar 15, 2018",9:00pm , 9:40pm,Hotel Vegas at Volstead,Electronic
Acid Tongue,https://schedule.sxsw.com/2018/artists/18320,"Mar 15, 2018",12:00am , 12:40am,Javelina,Rock
Acid Tongue,https://schedule.sxsw.com/2018/artists/18320,"Mar 16, 2018",1:00am , 1:50am,The Sidewinder Outside,Rock
AC Smitty,https://schedule.sxsw.com/2018/artists/19355,"Mar 16, 2018",10:00pm , 10:10pm,Parish,Hip Hop / Rap
Action Bronson,https://schedule.sxsw.com/2018/artists/23453,"Mar 15, 2018",12:00am , 12:40am,Banger's,Hip Hop / Rap
Adahzeh,https://schedule.sxsw.com/2018/artists/22564,"Mar 13, 2018",11:00pm , 11:40pm,Flamingo Cantina,Reggae
Adam + Kizzie,https://schedule.sxsw.com/2018/artists/22809,"Mar 17, 2018",8:25pm , 8:45pm,18th Over Austin,Soul
Adam Torres,https://schedule.sxsw.com/2018/artists/18192,"Mar 17, 2018",12:00am , 12:40am,Lamberts,Folk
Adekunle Gold,https://schedule.sxsw.com/2018/artists/23060,"Mar 17, 2018",10:30pm , 11:00pm,800 Congress,World
Adekunle Gold,https://schedule.sxsw.com/2018/artists/23060,"Mar 16, 2018",11:00pm , 11:15pm,Highland Lounge,World
Adekunle Gold,https://schedule.sxsw.com/2018/artists/23060,"Mar 15, 2018",5:00pm , 5:40pm,International Day Stage Austin Convention Center,World
Adrian Daniel,https://schedule.sxsw.com/2018/artists/18819,"Mar 14, 2018",9:25pm , 10:05pm,Dirty Dog Bar,R & B
The Afroknotts,https://schedule.sxsw.com/2018/artists/23391,"Mar 17, 2018",9:30pm , 9:50pm,Sheraton BackYARD,Soul
AHI,https://schedule.sxsw.com/2018/artists/19169,"Mar 16, 2018",11:30pm , 12:20am,Victorian Room at The Driskill,Singer Songwriter
Aiming For Enrike,https://schedule.sxsw.com/2018/artists/21475,"Mar 16, 2018",12:00am , 12:40am,The Hideout,Rock
Aiming For Enrike,https://schedule.sxsw.com/2018/artists/21475,"Mar 14, 2018",8:00pm , 8:40pm,Elysium,Rock
Ainsley Farrell,https://schedule.sxsw.com/2018/artists/18570,"Mar 13, 2018",10:00pm , 10:40pm,18th Over Austin,Americana
Aisha Badru,https://schedule.sxsw.com/2018/artists/18068,"Mar 14, 2018",10:00pm , 10:40pm,18th Over Austin,Singer Songwriter
AJ,https://schedule.sxsw.com/2018/artists/23589,"Mar 17, 2018",8:30pm , 9:00pm,Carver Museum Boyd Vance Theater,Hip Hop / Rap
AJ DeGrasse,https://schedule.sxsw.com/2018/artists/22919,"Mar 16, 2018",11:30pm , 12:10am,Elephant Room,Jazz
AJ Tracey,https://schedule.sxsw.com/2018/artists/22765,"Mar 16, 2018",1:00am , 1:40am,British Music Embassy @ Latitude 30,Hip Hop / Rap
AJ Tracey,https://schedule.sxsw.com/2018/artists/22765,"Mar 15, 2018",1:25am , 1:50am,The Main II,Hip Hop / Rap
AKA,https://schedule.sxsw.com/2018/artists/19986,"Mar 17, 2018",11:00pm , 11:30pm,800 Congress,Hip Hop / Rap
AKA,https://schedule.sxsw.com/2018/artists/19986,"Mar 16, 2018",11:20pm , 11:40pm,Highland Lounge,Hip Hop / Rap
